1. Name or Nickname;3. Hero;4. Decklist;5. Deck Description  ;6. Cards;
Cernnunos;Kauri & Puff;https://www.altered.gg/decks/01KPZJ589TBKGMGFHT81B5NH4Z;"A Kauri deck focused on animals. It's full of low-cost animals supported by Arawn for stat bursts. The Kauri card draw prevents you from getting too exhausted by playing a lot of low-costs. The other cards include Muna's classic spell set and good 3-mana animals. Special mention goes to the otter, which combos well with Pelican and caregiver.

The deck works well as a starter deck because, despite its animal focus, it offers a variety of effects (Ascend, Anchor, Tough, Sleep, Move to reserve, removal, etc.) while remaining fairly straightforward and not requiring many combos to function.";"1 ALT_CYCLONE_B_MU_65_C
3 ALT_CYCLONE_B_YZ_72_R2
3 ALT_CYCLONE_B_MU_70_C
3 ALT_BISE_B_MU_57_R1
3 ALT_CYCLONE_B_MU_67_C
2 ALT_CYCLONE_B_MU_80_C
3 ALT_BISE_B_MU_60_C
3 ALT_CORE_B_MU_28_C
3 ALT_CYCLONE_B_MU_66_C
3 ALT_CYCLONE_B_OR_66_R2
2 ALT_DUSTER_B_MU_95_R1
2 ALT_CYCLONE_B_OR_79_R2
3 ALT_CORE_B_MU_04_C
3 ALT_BISE_B_MU_50_C
1 ALT_CORE_B_MU_26_C
2 ALT_ALIZE_B_MU_34_R1";
Cohlrabi;Kojo & Booda;https://www.altered.gg/decks/01KQFE2F6RMDXJCFJ31Q3FYXGD;"Hungry Hungry Kojo. 

This is just meant to be a straightforward Kojo as he is currently list. It shows off a lot of what current players are doing with the hero. 

The Hunger is a fun and splashy card that might excite new players, Fisherman is strong and has an interesting strategy, and rage in there to see players eyes light up when they realize they can hit Booda with it. ";"1 ALT_CORE_B_BR_01_C
3 ALT_ALIZE_B_BR_32_C
3 ALT_BISE_B_YZ_56_R2
3 ALT_CORE_B_BR_05_C
3 ALT_CORE_B_BR_08_C
3 ALT_CORE_B_BR_19_C
2 ALT_CORE_B_BR_26_R1
2 ALT_CORE_B_BR_29_R1
3 ALT_CYCLONE_B_BR_69_R1
3 ALT_CYCLONE_B_BR_70_C
3 ALT_CYCLONE_B_BR_80_C
2 ALT_CYCLONE_B_BR_81_R1
3 ALT_DUSTER_B_BR_89_C
3 ALT_DUSTER_B_BR_94_R1
3 ALT_COREKS_B_BR_07_C";
Elfiris;Lindiwe & Maw;https://www.altered.gg/decks/01KQ733M4JFVPAC6R7T7A9E2X4;"Lindiwe is an Exalt with a unique synergy built around balancing the number of characters to sacrifice and the number of cards allowing to sacrifice. Without Uniques, draw also becomes a crucial factor.

This deck is built around a good balance between both the fuel and the cards that sacrifice, while also including cards that provide draw (Medusa, Baba Yaga, Houdini, Baba’s Hut).

With that balance, reliable draw, and several of the Exalt’s signature cards, this deck is a great way to explore the sacrifice mechanics specific to Lindiwe and Maw.

It’s still important to be able to interact with and manage the opponent’s resources, so the usual removal/interaction package is included.

The Kraken is the clutch finisher, capable of closing out games in the late game.";"1 ALT_CORE_B_YZ_02_C
3 ALT_COREKS_B_YZ_28_R1
2 ALT_ALIZE_B_OR_45_R2
3 ALT_CORE_B_YZ_21_C
3 ALT_ALIZE_B_YZ_33_C
1 ALT_CORE_B_YZ_05_R1
3 ALT_CORE_B_YZ_20_C
3 ALT_CORE_B_YZ_04_C
3 ALT_CORE_B_YZ_06_C
2 ALT_CORE_B_AX_21_R2
3 ALT_DUSTER_B_YZ_86_C
2 ALT_COREKS_B_YZ_05_R1
1 ALT_CORE_B_YZ_17_R1
3 ALT_ALIZE_B_YZ_44_C
2 ALT_CYCLONE_B_AX_73_R2
2 ALT_BISE_B_YZ_51_C
2 ALT_CORE_B_YZ_11_R1
1 ALT_ALIZE_B_YZ_42_C";
Notos;Matz & Hive;https://www.altered.gg/decks/01KJHMV0P4EQGQNQBQBPZPB5R0;The goal is to reach 3 landmarks as quickly as possible thanks to charitable Reka, investor and 2 mana landmarks. Then use Matz to play monolith for free and gain value for the rest of the game. The réunion is also very good when you don't have the monolith.;"1 ALT_DUSTER_B_OR_85_C
3 ALT_COREKS_B_OR_28_R1
2 ALT_DUSTER_B_OR_101_C
3 ALT_DUSTER_A_OR_97_E
3 ALT_BISE_B_OR_49_C
2 ALT_DUSTER_B_OR_102_C
3 ALT_DUSTER_B_OR_90_C
3 ALT_DUSTER_B_OR_92_C
3 ALT_DUSTER_B_OR_86_C
2 ALT_DUSTER_B_OR_100_R1
3 ALT_CYCLONE_B_OR_81_C
2 ALT_BISE_B_OR_59_C
2 ALT_CORE_B_AX_28_R2
3 ALT_CORE_B_OR_05_R1
2 ALT_CORE_B_OR_16_R1
3 ALT_DUSTER_B_MU_89_R2";
Mr. Toast;Moyo & Silk;https://www.altered.gg/en-us/decks/01KQT3KQ6JQQZ9JY5YDNMY7GPM?rarity[]=EXALTED;This Moyo deck focuses around the exhaust mechanic. It is a straightforward flutter deck. It allows the use of cantrips to stall and make flutter cost less. Cost reduction is used to be able to play multiple spells per turn. This deck will use cards to stall while it builds mana. Cards like bravos signet help to ramp while also being a aggressive card that can be removal, or stat increases. Blizzard is also a great addition to this deck. I like that blizzard is way stronger in Moyo because you can use it to win a side. If you stall enough and blizzard the opposing hero expedition, you get a moyo trigger that allows you to move. Essentially a removal Small Step Giant Leap.;"1 ALT_CYCLONE_B_YZ_65_C
3 ALT_ALIZE_B_YZ_39_C
3 ALT_ALIZE_B_YZ_42_C
3 ALT_CYCLONE_B_YZ_68_C
3 ALT_CORE_B_YZ_19_C
2 ALT_CORE_B_YZ_23_R1
2 ALT_ALIZE_B_LY_39_R2
2 ALT_DUSTER_B_AX_98_R2
2 ALT_DUSTER_B_YZ_101_C
2 ALT_CORE_B_YZ_04_C
3 ALT_ALIZE_B_YZ_43_R1
2 ALT_CYCLONE_B_YZ_80_C
1 ALT_CORE_B_YZ_25_C
2 ALT_DUSTER_B_YZ_102_R1
2 ALT_CYCLONE_B_BR_79_R2
2 ALT_DUSTER_B_YZ_92_C
3 ALT_CYCLONE_B_YZ_78_C
2 ALT_DUSTER_B_YZ_99_R1";
JoliRougeGorge ;Nadir & Bubbles;https://www.altered.gg/decks/01KQSPZYJFNBG05JSKTJ5YE6N5;This Nadir list uses the strength of Nadir with spiked cards. Also with a few card advantage that is imo often needed on Nadir and a payoff combo with Diocles-energy bar that van take expeditions (but they also are good without each other);"1 ALT_CYCLONE_B_LY_65_C
3 ALT_DUSTER_B_LY_86_R1
3 ALT_DUSTER_B_LY_93_C
2 ALT_DUSTER_B_LY_94_R1
3 ALT_DUSTER_B_LY_97_C
1 ALT_DUSTER_B_LY_102_C
2 ALT_CYCLONE_B_LY_66_C
2 ALT_CYCLONE_B_LY_71_C
2 ALT_CYCLONE_B_LY_72_R1
3 ALT_BISE_B_LY_49_C
3 ALT_BISE_B_LY_51_C
3 ALT_ALIZE_B_BR_34_R2
2 ALT_ALIZE_B_BR_45_R2
2 ALT_ALIZE_B_LY_43_C
2 ALT_CORE_B_LY_15_C
3 ALT_CORE_B_LY_23_C
3 ALT_CORE_B_MU_16_R2";
Joli rouge gorge ;Nevenka & Blotch;https://www.altered.gg/decks/01KQVM6JJ3KEYAR1N0HSXTBZYF;Here we show a lot of dice roll synergies with different pay offs, playing a lot of card advantage depending on the dice rolls to make sure to have a good engine through out the whole game, try making 6 to anchor good stuff and manipulate dice RNG.;"1 ALT_CORE_B_LY_01_C
3 ALT_DUSTER_B_LY_97_C
2 ALT_BISE_B_LY_49_C
2 ALT_BISE_B_LY_51_C
3 ALT_BISE_A_LY_53_R1
3 ALT_ALIZE_B_LY_32_C
3 ALT_CORE_B_LY_04_R1
3 ALT_CORE_B_LY_06_C
3 ALT_CORE_B_LY_23_C
1 ALT_CYCLONE_A_LY_78_C
3 ALT_BISE_B_LY_55_R1
2 ALT_BISE_B_LY_60_R1
3 ALT_BISE_B_LY_62_C
3 ALT_ALIZE_B_LY_41_C
3 ALT_CORE_B_LY_30_R1
1 ALT_CORE_B_LY_17_C
1 ALT_CORE_B_LY_17_R1";
Oriazzz;Rin & Orchid;https://www.altered.gg/decks/01KQ83XC6E139J0KA3RXR4PK4P;"The idea is to play lots of good characters with over stats in forest biomes. There are many 3-mana cards to optimize the anchor abilities. Aloe Vera is a great engine in this deck. It can stay on board all game and make you win pretty easily.

The ascend package gives punch to take early 2-0 or end game.

All that can be anchored by muna botanist and anchor-support cards.

You can build your hand with Rin power by making anchor support or Coppelia going to reserve. If you haven't these you can filter your hand based on the match-up. 

Attention was made on putting some of the most played muna cards of each set. 
- Set 1 : Aloe Vera
- Set 2 : floral tent
- Set 3 : Requiem
- Set 4 : Cuckoo / Gargoyle
- Set 5 : Muna botanist

To sum-up : it's a easy-to-play deck with a great learning curve due to the improvement you will make by adapting to match ups and make a great use of Rin hero power. ";"1 ALT_CORE_B_MU_03_C
3 ALT_CYCLONE_B_OR_71_R2
2 ALT_ALIZE_B_MU_33_R1
2 ALT_CORE_B_MU_28_C
2 ALT_BISE_B_MU_60_C
3 ALT_CYCLONE_B_MU_70_C
3 ALT_DUSTER_B_MU_88_R1
3 ALT_CYCLONE_B_MU_66_C
3 ALT_CORE_B_MU_13_C
3 ALT_CORE_B_MU_04_C
2 ALT_CYCLONE_B_MU_68_C
3 ALT_ALIZE_B_MU_44_C
3 ALT_DUSTER_B_MU_89_C
2 ALT_COREKS_B_AX_14_R2
2 ALT_CYCLONE_B_OR_67_R2
3 ALT_COREKS_B_MU_16_R1";
VaderMIB;Sierra & Oddball;https://www.altered.gg/decks/01KQ30NXM6F09EGGGXSMFMYEBM;"Sierra robots.
Sierra has always be associated primarily with the Hive, together with robots. She sinergizes with permanents and robots.
So, the core of the deck remains the Hive, which is here to be set up as early as possible and can win games almost by itself. It is the undisputed emblem of Sierra.
The deck works around robots, with lunar medusa, most precious after you robot ally.
Foundry armorer is one of the best starting card. And she makes robots.
The other side of the deck works around drawing capabilities : hooked (draw and expedition win, another Axiom emblem cards), abandoned depot.
Science fair is a great sinergy with permanents: put one in réserve, draw and play it.
Mechanical training works with hive, depot and bug-out bag for cheap bodies or draw.
The rest of the deck uses the bunch of other powerful robots.";"1 ALT_CORE_B_AX_01_C
3 ALT_COREKS_B_AX_30_R1
3 ALT_COREKS_B_AX_20_R1
3 ALT_COREKS_B_AX_16_R1
3 ALT_DUSTER_B_AX_86_C
3 ALT_COREKS_B_YZ_05_R2
3 ALT_CYCLONE_B_AX_79_C
3 ALT_BISE_B_AX_62_C
3 ALT_COREKS_B_AX_22_C
1 ALT_ALIZE_B_YZ_42_R2
3 ALT_BISE_B_AX_51_C
2 ALT_BISE_B_AX_53_R1
3 ALT_COREKS_B_AX_07_C
2 ALT_DUSTER_B_AX_96_C
2 ALT_DUSTER_B_AX_100_C
2 ALT_CYCLONE_B_AX_80_C";
-Unite-;Sigismar & Wingspan;https://www.altered.gg/fr-fr/decks/01KQFP9Z6JFRZ2CSYSAJ9JDZM0;Deck aggro ou l'idée principal est de placer le monolith bastion grâce aux cartes comme Kikimora/Mécanicienne/ingénieure. Pour la pioche don de sois peut être optimiser via le templier ou l'investisseur ou bien le jetons du héros.;"1 ALT_CORE_B_OR_01_C
2 ALT_CORE_B_OR_24_C
3 ALT_CORE_B_OR_28_C
2 ALT_CORE_B_OR_08_C
3 ALT_CORE_B_OR_16_R1
3 ALT_DUSTER_B_OR_95_C
2 ALT_BISE_B_OR_59_C
1 ALT_ALIZE_B_OR_42_C
1 ALT_BISE_B_OR_54_C
3 ALT_CORE_B_AX_05_R2
2 ALT_COREKS_B_YZ_20_R2
2 ALT_ALIZE_B_OR_45_C
3 ALT_CORE_B_OR_05_C
2 ALT_CORE_B_OR_06_C
3 ALT_CORE_B_OR_11_C
2 ALT_COREKS_B_LY_15_R2
3 ALT_COREKS_B_AX_07_R2
2 ALT_DUSTER_B_OR_92_R1";
martin pecheur;Sol & Halua;https://www.altered.gg/decks/01KQHDHGQFDQQ8J9GEWFTHRY32;"I built this deck to show the basic Sol’s archetype. The goal is to get a counter on every turn with Sol to get the most out of his token. Play 1 or 2 cards per turn; so choose carefully which card to keep for later and which to put into your mana.
The deck is actually easy to learn but has a fairly high skill ceiling. It is stable and well-balanced and is always a pleasure to play ! ";"1 ALT_CYCLONE_B_BR_65_C
3 ALT_CYCLONE_B_BR_67_C
3 ALT_CYCLONE_B_BR_69_R1
3 ALT_CYCLONE_B_BR_77_C
3 ALT_DUSTER_B_BR_96_C
3 ALT_CYCLONE_B_BR_81_R1
3 ALT_ALIZE_B_BR_43_C
2 ALT_BISE_B_BR_61_C
2 ALT_BISE_B_YZ_56_R2
3 ALT_CYCLONE_B_BR_74_R1
2 ALT_ALIZE_B_BR_32_C
3 ALT_COREKS_B_BR_17_R1
3 ALT_COREKS_B_BR_19_C
2 ALT_DUSTER_B_BR_88_C
1 ALT_DUSTER_B_BR_94_R1
2 ALT_CYCLONE_B_BR_73_C
1 ALT_DUSTER_B_BR_98_E";
Stefan Saettone;Subhash & Marmo;https://www.altered.gg/decks/01KET8PERP4XQK0FK6T4B1Z0FF;"Keep up the pressure constantly, while using the permanents to keep control up and get some needed cards for Subhash. The Sap and Detonation are to be used against the Hunger mainly, but can be used against any powerful threat.

The main focus is to get Dr. Frankenstein while you have a Restocking station up, to keep on the pressure from the reserve while building up your hand. The Foundry Engineer is there to provide a way to get your permanents up without loosing the pressure.";"1 ALT_CORE_B_AX_03_C
2 ALT_ALIZE_B_AX_40_R1
3 ALT_CORE_B_AX_17_C
2 ALT_CORE_B_AX_28_R1
2 ALT_CYCLONE_B_AX_77_C
3 ALT_CORE_B_AX_14_C
2 ALT_BISE_B_AX_53_R1
3 ALT_CORE_B_AX_05_R1
3 ALT_CORE_B_AX_11_C
2 ALT_CORE_B_AX_22_C
2 ALT_CYCLONE_B_AX_75_C
2 ALT_BISE_B_AX_62_C
2 ALT_BISE_B_AX_59_C
2 ALT_COREKS_B_AX_18_C
3 ALT_CYCLONE_B_AX_79_R1
3 ALT_CYCLONE_B_AX_81_R1
3 ALT_DUSTEROP_A_AX_98_C";
SanDeity;Teija & Nauraa;https://www.altered.gg/decks/01KQTV1JW9PE9XJR4TM3SS78P1;Big Plants! Everyone loves boosting plants! No one does it better than Teija!! Get those plants out there and nurture them with love in the form of boosts!!!;"1 ALT_CORE_B_MU_01_C
1 ALT_CORE_B_MU_22_C
1 ALT_CORE_B_MU_22_R1
1 ALT_CORE_B_MU_06_C
2 ALT_CORE_B_MU_06_R1
1 ALT_CORE_B_MU_30_R1
1 ALT_CORE_B_MU_30_C
1 ALT_CORE_B_MU_08_C
2 ALT_CORE_B_MU_08_R1
2 ALT_CORE_B_MU_15_C
1 ALT_CORE_B_MU_15_R1
2 ALT_CORE_B_MU_16_R1
2 ALT_CORE_B_MU_04_C
1 ALT_CORE_B_MU_04_R1
1 ALT_CORE_B_MU_13_C
1 ALT_CORE_B_MU_13_R1
2 ALT_CORE_B_MU_25_C
2 ALT_CORE_B_MU_27_C
1 ALT_CORE_B_MU_27_R1
2 ALT_BISE_B_LY_61_R2
3 ALT_BISE_B_MU_61_C
2 ALT_CORE_B_MU_26_C
3 ALT_ALIZE_B_MU_44_C
1 ALT_DUSTER_B_MU_99_R1
3 ALT_CORE_B_MU_24_C";
